vehicle_color_id,exterior_color_1,exterior_color_2,interior_color_1,interior_color_2
1,6,1,6,9
2,9,1,3,6
3,4,1,3,1
4,9,1,6,1
5,10,1,6,1
6,10,1,3,1
7,8,1,3,6
8,3,1,3,6
9,3,1,3,1
10,3,1,3,5
11,6,1,6,1
12,3,1,6,1
13,3,1,5,6
14,10,1,3,1
15,6,1,2,1
16,6,1,6,1
17,9,1,3,1
18,9,1,6,1
19,10,1,3,1
20,8,1,3,1
21,8,1,3,9
22,10,1,3,9
23,10,1,6,1
24,4,1,3,1
25,4,1,3,1
26,3,1,3,6
27,8,3,3,1
28,3,1,3,6
29,6,1,3,8
30,6,1,3,1
31,6,3,3,1
32,4,3,3,1
33,8,1,2,3
34,4,1,3,9
35,3,9,3,1
36,4,1,3,1
37,6,1,3,1
38,10,1,10,5
39,8,1,3,1
40,3,1,3,1
41,9,1,3,1
42,4,1,3,1
43,7,1,3,1
44,3,1,3,1
45,3,1,6,1
46,8,1,3,5
47,10,1,3,1
48,10,1,3,1
49,10,1,3,1
50,10,1,6,1
51,10,1,3,1
